05/13/19 - 15:16:15 | google.com | online
05/13/19 - 15:16:41 | google.com | online
05/13/19 - 15:17:05 | google.com | online
05/13/19 - 15:18:38 | google.com | online
05/13/19 - 15:18:51 | google.com | online
05/13/19 - 15:19:03 | google.com | online
05/13/19 - 15:19:20 | google.com | online
05/13/19 - 15:19:36 | google.com | online
05/13/19 - 15:19:41 | google.com | online
05/13/19 - 15:22:16 | google.com | online
05/13/19 - 15:22:32 | google.com | online

05/13/19 - 15:23:00 | google.com | online
05/13/19 - 15:26:08 | https://rickeystokesnews.com/ | NOT DETECTED / OFFLINE
05/13/19 - 15:26:28 | rickeystokesnews.com/ | NOT DETECTED / OFFLINE
05/13/19 - 15:27:25 | rickeystokesnews.com | online
05/13/19 - 15:27:30 | rickeystokesnews.com | online
05/13/19 - 15:27:51 | rickeystokesnews.com | online
05/13/19 - 15:27:54 | rickeystokesnews.com | online
05/29/19 - 11:21:21 | google.com | online
08/12/19 - 07:44:35 | www.google.com | online
08/12/19 - 07:44:40 | www.google.com | online
08/12/19 - 07:44:42 | www.google.com | online
08/12/19 - 07:45:08 | google.com | online
08/12/19 - 07:45:10 | google.com | online
08/12/19 - 07:45:10 | google.com | online
08/12/19 - 07:45:11 | google.com | online
08/12/19 - 07:45:11 | google.com | online
08/12/19 - 07:45:12 | google.com | online
08/12/19 - 07:45:13 | google.com | online
08/12/19 - 07:45:14 | google.com | online
08/12/19 - 07:45:15 | google.com | online
